ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
129.250.150.jdd,12/31/2003,0:21:03,500,1135444,0001135444-03-000003,xslF345X02/primary_doc.xml,200,16964,0,1,0,0,0,win
129.250.150.jdd,12/31/2003,0:34:00,500,1246350,0000892917-03-000183,xslF345X02/rcform4thoenes_ex.xml,200,17179,0,1,0,0,0,win
129.250.150.jdd,12/31/2003,0:37:44,500,1257612,0000892917-03-000180,xslF345X02/rcform4erwin_ex.xml,200,25313,0,1,0,0,0,win
129.250.150.jdd,12/31/2003,0:41:03,500,1238655,0001238655-03-000001,xslF345X02/primary_doc.xml,200,15937,0,1,0,0,0,win
129.250.150.jdd,12/31/2003,0:44:14,500,1237298,0001237298-03-000002,xslF345X02/c0001237298d20031229f4f.xml,200,15170,0,1,0,0,0,win
67.67.192.cfi,12/31/2003,1:03:46,500,1105101,0001058854-03-000194,#NAME?,200,2978,1,0,0,1,0,win
67.67.192.cfi,12/31/2003,1:03:53,500,1105101,0001058854-03-000194,gigamedia03-11.txt,200,31611,0,0,0,9,0,win
24.128.96.beh,12/31/2003,1:07:45,500,897730,0000950115-98-000922,.txt,200,40253,0,0,0,1,0,win
24.128.96.beh,12/31/2003,1:07:48,500,897730,0001005477-98-000092,.txt,200,15214,0,0,0,1,0,win
24.128.96.beh,12/31/2003,1:07:48,500,897730,0001005477-97-002404,.txt,200,43825,0,0,0,1,0,win
,12/31/2003,1:07:49,500,1020520,0000021832-00-000031,#NAME?,200,29937,1,0,0,1,0,win
24.128.96.beh,12/31/2003,1:07:49,500,1020520,0000021832-00-000031,.txt,200,28167,0,0,0,1,0,win
129.250.150.jdd,12/31/2003,1:08:49,500,1187853,0000939057-03-000394,xslF345X02/primary_doc.xml,200,16969,0,1,0,0,0,win
24.128.96.beh,12/31/2003,1:10:12,500,727737,0000898822-00-000450,#NAME?,200,2349,1,0,0,1,0,win
24.128.96.beh,12/31/2003,1:10:12,500,840823,0001164150-03-000207,.txt,200,75126,0,0,0,1,0,win
24.128.96.beh,12/31/2003,1:10:12,500,840823,0001164150-03-000194,.txt,200,170907,0,0,0,1,0,win
205.138.214.ech,12/31/2003,1:10:17,500,2145,0000950123-98-003868,.hdr.sgml,404,3451,0,1,0,0,1,
205.138.214.ech,12/31/2003,1:10:21,500,852015,0000950136-98-001194,.hdr.sgml,404,3451,0,1,0,0,1,
24.128.96.beh,12/31/2003,1:10:21,500,727737,0000927356-96-000203,.txt,200,31261,0,0,0,1,0,win
205.138.214.ech,12/31/2003,1:10:22,500,8177,0001209191-03-017964,.hdr.sgml,200,962,0,1,0,0,1,
